filename,team,method,board,score,m_plus,delta_m_plus,m_cross,delta_m_cross,c_plus,delta_c_plus,c_cross,delta_c_cross
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_gc_3-2013-12-05T19:38:32.531032+00:00.g3,EPFL_KSB,KSB,control-ground-constant-post,24.7465199609,0.00594072461707,0.0548017894879,0.038155693529,0.025058850664,0.0195177770468,0.00138319314384,0.000740773400574,0.000638367016045
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_gv_3-2013-12-05T19:39:51.917863+00:00.g3,EPFL_KSB,KSB,control-ground-variable-post,71.9944444587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_sc_3-2013-12-05T19:51:15.459542+00:00.g3,EPFL_KSB,KSB,control-space-constant-post,7.14536097875,-0.652539404126,0.324491122636,0.0242138732112,0.308336903643,0.0221766833435,0.00778801747831,0.000880703214742,0.00820425678175
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_ksb-ksb-epfl_ksb_sv_3-2013-12-05T19:51:58.505110+00:00.g3,EPFL_KSB,KSB,control-space-variable-post,3.35861332513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_mlp-mlp-mlp1-2013-12-07T00:17:36.124174+00:00.g3,EPFL_MLP,MLP,control-ground-variable-post,35.9641323228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_gfit-epfl_gfit_1_scs-epfl_gfit_1_scs-2013-12-07T18:25:24.333168+00:00.g3,EPFL_gfit,EPFL_gfit_1_SCS,control-ground-constant-post,151.346447635,-0.0284979151332,0.00687105834206,-0.0152084094753,0.0055533954631,2.14138369362e-05,0.00017342500817,-8.65770983844e-05,0.000141471152777
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_gfit-gfit-epfl_gfit_2_scs-2013-12-07T19:40:48.974309+00:00.g3,EPFL_gfit,gfit,control-ground-constant-post,151.346447635,-0.0284979151332,0.00687105834206,-0.0152084094753,0.0055533954631,2.14138369362e-05,0.00017342500817,-8.65770983844e-05,0.000141471152777
/home/jaz/great3-private/server/great3/leaderboard/../../results/epfl_gfit-gfit-epfl_gfit_3_scs-2013-12-07T19:58:52.688525+00:00.g3,EPFL_gfit,gfit,control-ground-constant-post,138.365765846,-0.0309705368517,0.00643088351896,-0.0163845856066,0.00536520979534,0.000497686898706,0.000162315027947,2.8871184431e-05,0.000136677176995
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_3-2013-12-08T10:57:49.306236+00:00.g3,MegaLUT,MegaLUT,control-space-variable-post,570.316058169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/home/jaz/great3-private/server/great3/leaderboard/../../results/megalut-megalut-bonn_megalut_cgv_v3-2013-12-08T11:18:06.278390+00:00.g3,MegaLUT,MegaLUT,control-ground-variable-post,176.06056146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
